"subject" "activity" "feature" "avg"
1 "WALKING" "fBodyAccJerk-bandsEnergy()-25,32" -0.888159450689721
1 "WALKING" "fBodyAccJerk-bandsEnergy()-25,48" -0.873480544728146
1 "WALKING" "fBodyAccJerk-bandsEnergy()-33,40" -0.922003866599424
1 "WALKING" "fBodyAccJerk-bandsEnergy()-33,48" -0.895488503707973
1 "WALKING" "fBodyAccJerk-bandsEnergy()-41,48" -0.884858671590778
1 "WALKING" "fBodyAccJerk-bandsEnergy()-49,56" -0.909516516243996
1 "WALKING" "fBodyAccJerk-bandsEnergy()-49,64" -0.912328815552353
1 "WALKING" "fBodyAccJerk-bandsEnergy()-57,64" -0.97192269359366
1 "WALKING" "fBodyAccJerk-bandsEnergy()-9,16" -0.860083125425552
1 "WALKING" "fBodyAccJerk-energy()-X" -0.795727147896254
1 "WALKING" "fBodyAccJerk-energy()-Y" -0.749135329308357
1 "WALKING" "fBodyAccJerk-energy()-Z" -0.92398068610951
1 "WALKING" "fBodyAccJerk-entropy()-X" -0.0691524172910663
1 "WALKING" "fBodyAccJerk-entropy()-Y" -0.0721826976743516
1 "WALKING" "fBodyAccJerk-entropy()-Z" -0.227957389174209
1 "WALKING" "fBodyAccJerk-iqr()-X" -0.503543498159827
1 "WALKING" "fBodyAccJerk-iqr()-Y" -0.628121561288184
1 "WALKING" "fBodyAccJerk-iqr()-Z" -0.728636237873199
1 "WALKING" "fBodyAccJerk-kurtosis()-X" -0.734705563037464
1 "WALKING" "fBodyAccJerk-kurtosis()-Y" -0.787069953541787
1 "WALKING" "fBodyAccJerk-kurtosis()-Z" -0.804808248688761
1 "WALKING" "fBodyAccJerk-mad()-X" -0.454185006429395
1 "WALKING" "fBodyAccJerk-mad()-Y" -0.492384849590084
1 "WALKING" "fBodyAccJerk-mad()-Z" -0.718431954291066
1 "WALKING" "fBodyAccJerk-max()-X" -0.63449666293804
1 "WALKING" "fBodyAccJerk-max()-Y" -0.542341092089741
1 "WALKING" "fBodyAccJerk-max()-Z" -0.762341709423631
1 "WALKING" "fBodyAccJerk-maxInds-X" -0.336253602305476
1 "WALKING" "fBodyAccJerk-maxInds-Y" -0.407953890489914
1 "WALKING" "fBodyAccJerk-maxInds-Z" -0.300634005763689
1 "WALKING" "fBodyAccJerk-mean()-X" -0.547348892435764
1 "WALKING" "fBodyAccJerk-mean()-Y" -0.507343617969859
1 "WALKING" "fBodyAccJerk-mean()-Z" -0.695305113832853
1 "WALKING" "fBodyAccJerk-meanFreq()-X" -0.0488005965884726
1 "WALKING" "fBodyAccJerk-meanFreq()-Y" -0.21527915818415
1 "WALKING" "fBodyAccJerk-meanFreq()-Z" -0.0964496376997118
1 "WALKING" "fBodyAccJerk-min()-X" -0.860692590403458
1 "WALKING" "fBodyAccJerk-min()-Y" -0.832411103916426
1 "WALKING" "fBodyAccJerk-min()-Z" -0.866418254409222
1 "WALKING" "fBodyAccJerk-skewness()-X" -0.326030587783141
1 "WALKING" "fBodyAccJerk-skewness()-Y" -0.35407126228415
1 "WALKING" "fBodyAccJerk-skewness()-Z" -0.461062521172911
1 "WALKING" "fBodyAccJerk-sma()" -0.510258518072622
1 "WALKING" "fBodyAccJerk-std()-X" -0.543979776127867
1 "WALKING" "fBodyAccJerk-std()-Y" -0.466251676533372
1 "WALKING" "fBodyAccJerk-std()-Z" -0.737861932680115
1 "WALKING" "fBodyAccMag-energy()" -0.789963748731988
1 "WALKING" "fBodyAccMag-entropy()" -0.0422134608270893
1 "WALKING" "fBodyAccMag-iqr()" -0.627701459778098
1 "WALKING" "fBodyAccMag-kurtosis()" -0.688715625787608
1 "WALKING" "fBodyAccMag-mad()" -0.510312610176945
1 "WALKING" "fBodyAccMag-max()" -0.711653384633141
1 "WALKING" "fBodyAccMag-maxInds" -0.738249031040346
1 "WALKING" "fBodyAccMag-mean()" -0.478448523354179
1 "WALKING" "fBodyAccMag-meanFreq()" 0.142062162506138
1 "WALKING" "fBodyAccMag-min()" -0.84658397989049
1 "WALKING" "fBodyAccMag-skewness()" -0.419852460748703
1 "WALKING" "fBodyAccMag-sma()" -0.478448523354179
1 "WALKING" "fBodyAccMag-std()" -0.589710231217867
1 "WALKING" "fBodyBodyAccJerkMag-energy()" -0.785989455965418
1 "WALKING" "fBodyBodyAccJerkMag-entropy()" -0.166896923014409
1 "WALKING" "fBodyBodyAccJerkMag-iqr()" -0.575736145472623
1 "WALKING" "fBodyBodyAccJerkMag-kurtosis()" -0.637882103117867
1 "WALKING" "fBodyBodyAccJerkMag-mad()" -0.498714609539481
1 "WALKING" "fBodyBodyAccJerkMag-max()" -0.611392576671239
1 "WALKING" "fBodyBodyAccJerkMag-maxInds" -0.870820179994236
1 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.499075765624092
1 "WALKING" "fBodyBodyAccJerkMag-meanFreq()" 0.200055179527839
1 "WALKING" "fBodyBodyAccJerkMag-min()" -0.727620514094236
1 "WALKING" "fBodyBodyAccJerkMag-skewness()" -0.319888971925965
1 "WALKING" "fBodyBodyAccJerkMag-sma()" -0.499075765624092
1 "WALKING" "fBodyBodyAccJerkMag-std()" -0.541823079570029
1 "WALKING" "fBodyBodyGyroJerkMag-energy()" -0.888647207723343
1 "WALKING" "fBodyBodyGyroJerkMag-entropy()" -0.0880270361959654
1 "WALKING" "fBodyBodyGyroJerkMag-iqr()" -0.634812134697406
1 "WALKING" "fBodyBodyGyroJerkMag-kurtosis()" -0.656185264925072
1 "WALKING" "fBodyBodyGyroJerkMag-mad()" -0.649682311060519
1 "WALKING" "fBodyBodyGyroJerkMag-max()" -0.714590749455331
1 "WALKING" "fBodyBodyGyroJerkMag-maxInds" -0.885549607172911
1 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.645970655298847
1 "WALKING" "fBodyBodyGyroJerkMag-meanFreq()" 0.198031580056455
1 "WALKING" "fBodyBodyGyroJerkMag-min()" -0.783030671299712
1 "WALKING" "fBodyBodyGyroJerkMag-skewness()" -0.346915560054265
1 "WALKING" "fBodyBodyGyroJerkMag-sma()" -0.645970655298847
1 "WALKING" "fBodyBodyGyroJerkMag-std()" -0.685811262634006
1 "WALKING" "fBodyBodyGyroMag-energy()" -0.794911215400576
1 "WALKING" "fBodyBodyGyroMag-entropy()" 0.0782256321585014
1 "WALKING" "fBodyBodyGyroMag-iqr()" -0.585177980261427
1 "WALKING" "fBodyBodyGyroMag-kurtosis()" -0.506323319276945
1 "WALKING" "fBodyBodyGyroMag-mad()" -0.542978060682709
1 "WALKING" "fBodyBodyGyroMag-max()" -0.593439908585014
1 "WALKING" "fBodyBodyGyroMag-maxInds" -0.874381142853026
1 "WALKING" "fBodyBodyGyroMag-mean()" -0.535002770337752
1 "WALKING" "fBodyBodyGyroMag-meanFreq()" 0.0649309438160231
1 "WALKING" "fBodyBodyGyroMag-min()" -0.801008618579251
1 "WALKING" "fBodyBodyGyroMag-skewness()" -0.205848254997406
1 "WALKING" "fBodyBodyGyroMag-sma()" -0.535002770337752
1 "WALKING" "fBodyBodyGyroMag-std()" -0.566576670397695
1 "WALKING" "fBodyGyro-bandsEnergy()-1,16" -0.850197694783862
1 "WALKING" "fBodyGyro-bandsEnergy()-1,24" -0.837191627185399
1 "WALKING" "fBodyGyro-bandsEnergy()-1,8" -0.84000773945245
1 "WALKING" "fBodyGyro-bandsEnergy()-17,24" -0.906024365629203
1 "WALKING" "fBodyGyro-bandsEnergy()-17,32" -0.897597255994236
1 "WALKING" "fBodyGyro-bandsEnergy()-25,32" -0.94870287962536
1 "WALKING" "fBodyGyro-bandsEnergy()-25,48" -0.946214183352546
1 "WALKING" "fBodyGyro-bandsEnergy()-33,40" -0.953863288712776
1 "WALKING" "fBodyGyro-bandsEnergy()-33,48" -0.947411178491835
1 "WALKING" "fBodyGyro-bandsEnergy()-41,48" -0.933855195177714
1 "WALKING" "fBodyGyro-bandsEnergy()-49,56" -0.934292954269933
1 "WALKING" "fBodyGyro-bandsEnergy()-49,64" -0.942226630441883
1 "WALKING" "fBodyGyro-bandsEnergy()-57,64" -0.963245278645533
1 "WALKING" "fBodyGyro-bandsEnergy()-9,16" -0.891599549154659
1 "WALKING" "fBodyGyro-energy()-X" -0.913811829596542
1 "WALKING" "fBodyGyro-energy()-Y" -0.742539206628242
1 "WALKING" "fBodyGyro-energy()-Z" -0.862594537348703
1 "WALKING" "fBodyGyro-entropy()-X" -0.00877406614985591
1 "WALKING" "fBodyGyro-entropy()-Y" 0.0868198243775216
1 "WALKING" "fBodyGyro-entropy()-Z" 0.00669242187896253
1 "WALKING" "fBodyGyro-iqr()-X" -0.643724651731441
1 "WALKING" "fBodyGyro-iqr()-Y" -0.589042016491066
1 "WALKING" "fBodyGyro-iqr()-Z" -0.603630684015303
1 "WALKING" "fBodyGyro-kurtosis()-X" -0.514354856078674
1 "WALKING" "fBodyGyro-kurtosis()-Y" -0.455350742127666
1 "WALKING" "fBodyGyro-kurtosis()-Z" -0.581864694924207
1 "WALKING" "fBodyGyro-mad()-X" -0.63913522915562
1 "WALKING" "fBodyGyro-mad()-Y" -0.525038215927378
1 "WALKING" "fBodyGyro-mad()-Z" -0.565258592326801
1 "WALKING" "fBodyGyro-max()-X" -0.710144431397406
1 "WALKING" "fBodyGyro-max()-Y" -0.502127388067435
1 "WALKING" "fBodyGyro-max()-Z" -0.754850427867435
1 "WALKING" "fBodyGyro-maxInds-X" -0.750624399207493
1 "WALKING" "fBodyGyro-maxInds-Y" -0.866319605711816
1 "WALKING" "fBodyGyro-maxInds-Z" -0.814369472556196
1 "WALKING" "fBodyGyro-mean()-X" -0.623219182311527
1 "WALKING" "fBodyGyro-mean()-Y" -0.505309434070029
1 "WALKING" "fBodyGyro-mean()-Z" -0.553529065425648
1 "WALKING" "fBodyGyro-meanFreq()-X" -0.0320324102759078
1 "WALKING" "fBodyGyro-meanFreq()-Y" -0.0901517235974063
1 "WALKING" "fBodyGyro-meanFreq()-Z" -0.0180063943472334
1 "WALKING" "fBodyGyro-min()-X" -0.920810495417867
1 "WALKING" "fBodyGyro-min()-Y" -0.834335572775216
1 "WALKING" "fBodyGyro-min()-Z" -0.883244297867435
1 "WALKING" "fBodyGyro-skewness()-X" -0.206139497907205
1 "WALKING" "fBodyGyro-skewness()-Y" -0.115966843406052
1 "WALKING" "fBodyGyro-skewness()-Z" -0.25870197963464
1 "WALKING" "fBodyGyro-sma()" -0.528333577495389
1 "WALKING" "fBodyGyro-std()-X" -0.708263420861671
1 "WALKING" "fBodyGyro-std()-Y" -0.429825832648703
1 "WALKING" "fBodyGyro-std()-Z" -0.650476162132565
1 "WALKING" "tBodyAcc-arCoeff()-X,1" -0.155288480178098
1 "WALKING" "tBodyAcc-arCoeff()-X,2" 0.184760549945187
1 "WALKING" "tBodyAcc-arCoeff()-X,3" -0.102987500446311
1 "WALKING" "tBodyAcc-arCoeff()-X,4" 0.114308211720461
1 "WALKING" "tBodyAcc-arCoeff()-Y,1" -0.0364532959878963
1 "WALKING" "tBodyAcc-arCoeff()-Y,2" 0.0507943075201153
1 "WALKING" "tBodyAcc-arCoeff()-Y,3" 0.144962177056196
1 "WALKING" "tBodyAcc-arCoeff()-Y,4" -0.0198872924841499
1 "WALKING" "tBodyAcc-arCoeff()-Z,1" 0.015159402087464
1 "WALKING" "tBodyAcc-arCoeff()-Z,2" 0.0522041628935735
1 "WALKING" "tBodyAcc-arCoeff()-Z,3" 0.021503545715072
1 "WALKING" "tBodyAcc-arCoeff()-Z,4" -0.132982874432248
1 "WALKING" "tBodyAcc-correlation()-X,Y" -0.203503298779781
1 "WALKING" "tBodyAcc-correlation()-X,Z" -0.140663320581729
1 "WALKING" "tBodyAcc-correlation()-Y,Z" 0.196151041060519
1 "WALKING" "tBodyAcc-energy()-X" -0.817833275504323
1 "WALKING" "tBodyAcc-energy()-Y" -0.868582888263401
1 "WALKING" "tBodyAcc-energy()-Z" -0.810084107060519
1 "WALKING" "tBodyAcc-entropy()-X" -0.0365021560682997
1 "WALKING" "tBodyAcc-entropy()-Y" 0.0119978297463977
1 "WALKING" "tBodyAcc-entropy()-Z" -0.183984055858386
1 "WALKING" "tBodyAcc-iqr()-X" -0.644456855585014
1 "WALKING" "tBodyAcc-iqr()-Y" -0.568967356373228
1 "WALKING" "tBodyAcc-iqr()-Z" -0.482946202789625
1 "WALKING" "tBodyAcc-mad()-X" -0.580162894375792
1 "WALKING" "tBodyAcc-mad()-Y" -0.391228161564121
1 "WALKING" "tBodyAcc-mad()-Z" -0.488074652257637
1 "WALKING" "tBodyAcc-max()-X" -0.39732624422928
1 "WALKING" "tBodyAcc-max()-Y" -0.272417234574121
1 "WALKING" "tBodyAcc-max()-Z" -0.471025510180922
1 "WALKING" "tBodyAcc-mean()-X" 0.265696920582133
1 "WALKING" "tBodyAcc-mean()-Y" -0.0182981725176081
1 "WALKING" "tBodyAcc-mean()-Z" -0.10784573454611
1 "WALKING" "tBodyAcc-min()-X" 0.419189414523343
1 "WALKING" "tBodyAcc-min()-Y" 0.291387598243516
1 "WALKING" "tBodyAcc-min()-Z" 0.57869983345245
1 "WALKING" "tBodyAcc-sma()" -0.447862824369741
1 "WALKING" "tBodyAcc-std()-X" -0.545795331328326
1 "WALKING" "tBodyAcc-std()-Y" -0.367716218227378
1 "WALKING" "tBodyAcc-std()-Z" -0.502645746562824
1 "WALKING" "tBodyAccJerk-arCoeff()-X,1" -0.132740067365418
1 "WALKING" "tBodyAccJerk-arCoeff()-X,2" 0.226547344503746
1 "WALKING" "tBodyAccJerk-arCoeff()-X,3" 0.129597891243804
1 "WALKING" "tBodyAccJerk-arCoeff()-X,4" 0.0278207283182421
1 "WALKING" "tBodyAccJerk-arCoeff()-Y,1" -0.0870700841590778
1 "WALKING" "tBodyAccJerk-arCoeff()-Y,2" 0.107866768265793
1 "WALKING" "tBodyAccJerk-arCoeff()-Y,3" 0.163197236333141
1 "WALKING" "tBodyAccJerk-arCoeff()-Y,4" 0.344590284904323
1 "WALKING" "tBodyAccJerk-arCoeff()-Z,1" 0.00566810250172911
1 "WALKING" "tBodyAccJerk-arCoeff()-Z,2" 0.109064070293026
1 "WALKING" "tBodyAccJerk-arCoeff()-Z,3" 0.0765597103063401
1 "WALKING" "tBodyAccJerk-arCoeff()-Z,4" 0.0497364928167147
1 "WALKING" "tBodyAccJerk-correlation()-X,Y" -0.181411610566859
1 "WALKING" "tBodyAccJerk-correlation()-X,Z" -0.108980031707493
1 "WALKING" "tBodyAccJerk-correlation()-Y,Z" 0.208920598589625
1 "WALKING" "tBodyAccJerk-energy()-X" -0.79597734129683
1 "WALKING" "tBodyAccJerk-energy()-Y" -0.749014797492795
1 "WALKING" "tBodyAccJerk-energy()-Z" -0.923946007867435
1 "WALKING" "tBodyAccJerk-entropy()-X" 0.050126515221902
1 "WALKING" "tBodyAccJerk-entropy()-Y" 0.0368494277933718
1 "WALKING" "tBodyAccJerk-entropy()-Z" -0.0140818229606628
1 "WALKING" "tBodyAccJerk-iqr()-X" -0.496323670087579
1 "WALKING" "tBodyAccJerk-iqr()-Y" -0.557268486848703
1 "WALKING" "tBodyAccJerk-iqr()-Z" -0.696303492997118
1 "WALKING" "tBodyAccJerk-mad()-X" -0.518381597802306
1 "WALKING" "tBodyAccJerk-mad()-Y" -0.457973700434207
1 "WALKING" "tBodyAccJerk-mad()-Z" -0.699552046080692
1 "WALKING" "tBodyAccJerk-max()-X" -0.62058886407781
1 "WALKING" "tBodyAccJerk-max()-Y" -0.659588345855908
1 "WALKING" "tBodyAccJerk-max()-Z" -0.799386916801153
1 "WALKING" "tBodyAccJerk-mean()-X" 0.0770930495126801
1 "WALKING" "tBodyAccJerk-mean()-Y" 0.0165908438802305
1 "WALKING" "tBodyAccJerk-mean()-Z" -0.00910758730117003
1 "WALKING" "tBodyAccJerk-min()-X" 0.45229857908415
1 "WALKING" "tBodyAccJerk-min()-Y" 0.559417589150432
1 "WALKING" "tBodyAccJerk-min()-Z" 0.69367453389049
1 "WALKING" "tBodyAccJerk-sma()" -0.538169912672046
1 "WALKING" "tBodyAccJerk-std()-X" -0.524721922818732
1 "WALKING" "tBodyAccJerk-std()-Y" -0.470412403511239
1 "WALKING" "tBodyAccJerk-std()-Z" -0.717322274881844
1 "WALKING" "tBodyAccJerkMag-arCoeff()1" 0.124725069029971
1 "WALKING" "tBodyAccJerkMag-arCoeff()2" -0.0878022571066282
1 "WALKING" "tBodyAccJerkMag-arCoeff()3" -0.14103595711415
1 "WALKING" "tBodyAccJerkMag-arCoeff()4" 0.0359250982402594
1 "WALKING" "tBodyAccJerkMag-energy()" -0.800918294524496
1 "WALKING" "tBodyAccJerkMag-entropy()" 0.0842013328040346
1 "WALKING" "tBodyAccJerkMag-iqr()" -0.614675867421902
1 "WALKING" "tBodyAccJerkMag-mad()" -0.543385370018156
1 "WALKING" "tBodyAccJerkMag-max()" -0.525482160665706
1 "WALKING" "tBodyAccJerkMag-mean()" -0.545431612066571
1 "WALKING" "tBodyAccJerkMag-min()" -0.719663017608069
1 "WALKING" "tBodyAccJerkMag-sma()" -0.545431612066571
1 "WALKING" "tBodyAccJerkMag-std()" -0.515922167555159
1 "WALKING" "tBodyAccMag-arCoeff()1" 0.0107480955951009
1 "WALKING" "tBodyAccMag-arCoeff()2" -0.0445568387524496
1 "WALKING" "tBodyAccMag-arCoeff()3" 0.0854444841365706
1 "WALKING" "tBodyAccMag-arCoeff()4" -0.0491918153835735
1 "WALKING" "tBodyAccMag-energy()" -0.741394643746398
1 "WALKING" "tBodyAccMag-entropy()" 0.249771373567723
1 "WALKING" "tBodyAccMag-iqr()" -0.603153353097983
1 "WALKING" "tBodyAccMag-mad()" -0.547872550685879
1 "WALKING" "tBodyAccMag-max()" -0.482052285306628
1 "WALKING" "tBodyAccMag-mean()" -0.453632943768818
1 "WALKING" "tBodyAccMag-min()" -0.833674419942363
1 "WALKING" "tBodyAccMag-sma()" -0.453632943768818
1 "WALKING" "tBodyAccMag-std()" -0.497096402038329
1 "WALKING" "tBodyGyro-arCoeff()-X,1" -0.239287952908156
1 "WALKING" "tBodyGyro-arCoeff()-X,2" 0.151028490402882
1 "WALKING" "tBodyGyro-arCoeff()-X,3" 0.225159308175187
1 "WALKING" "tBodyGyro-arCoeff()-X,4" -0.212147773321902
1 "WALKING" "tBodyGyro-arCoeff()-Y,1" -0.167613020676398
1 "WALKING" "tBodyGyro-arCoeff()-Y,2" 0.167009331654755
1 "WALKING" "tBodyGyro-arCoeff()-Y,3" -0.0766679972272046
1 "WALKING" "tBodyGyro-arCoeff()-Y,4" 0.111887349196744
1 "WALKING" "tBodyGyro-arCoeff()-Z,1" -0.0768873942676945
1 "WALKING" "tBodyGyro-arCoeff()-Z,2" 0.072821007667147
1 "WALKING" "tBodyGyro-arCoeff()-Z,3" -0.0423163119754755
1 "WALKING" "tBodyGyro-arCoeff()-Z,4" 0.178624609412392
1 "WALKING" "tBodyGyro-correlation()-X,Y" -0.034900849132853
1 "WALKING" "tBodyGyro-correlation()-X,Z" -0.0435905702789625
1 "WALKING" "tBodyGyro-correlation()-Y,Z" -0.10499394311268
1 "WALKING" "tBodyGyro-energy()-X" -0.902023986599424
1 "WALKING" "tBodyGyro-energy()-Y" -0.742583112766571
1 "WALKING" "tBodyGyro-energy()-Z" -0.868533713458213
1 "WALKING" "tBodyGyro-entropy()-X" -0.0617493807841499
1 "WALKING" "tBodyGyro-entropy()-Y" -0.163577570574928
1 "WALKING" "tBodyGyro-entropy()-Z" 0.0386521646489914
1 "WALKING" "tBodyGyro-iqr()-X" -0.720751722302594
1 "WALKING" "tBodyGyro-iqr()-Y" -0.508497036147262
1 "WALKING" "tBodyGyro-iqr()-Z" -0.685635074121037
1 "WALKING" "tBodyGyro-mad()-X" -0.70103996425072
1 "WALKING" "tBodyGyro-mad()-Y" -0.469460663873516
1 "WALKING" "tBodyGyro-mad()-Z" -0.61877064714438
1 "WALKING" "tBodyGyro-max()-X" -0.621062787005187
1 "WALKING" "tBodyGyro-max()-Y" -0.616036522507205
1 "WALKING" "tBodyGyro-max()-Z" -0.457796033259366
1 "WALKING" "tBodyGyro-mean()-X" -0.0208764064320173
1 "WALKING" "tBodyGyro-mean()-Y" -0.0880722729400576
1 "WALKING" "tBodyGyro-mean()-Z" 0.0862641666597983
1 "WALKING" "tBodyGyro-min()-X" 0.570479563244669
1 "WALKING" "tBodyGyro-min()-Y" 0.610994727746398
1 "WALKING" "tBodyGyro-min()-Z" 0.459998913805764
1 "WALKING" "tBodyGyro-sma()" -0.475242076740058
1 "WALKING" "tBodyGyro-std()-X" -0.686555715201729
1 "WALKING" "tBodyGyro-std()-Y" -0.450979810499568
1 "WALKING" "tBodyGyro-std()-Z" -0.597496136795101
1 "WALKING" "tBodyGyroJerk-arCoeff()-X,1" -0.0803998089495677
1 "WALKING" "tBodyGyroJerk-arCoeff()-X,2" 0.0287633371011527
1 "WALKING" "tBodyGyroJerk-arCoeff()-X,3" 0.242364969451326
1 "WALKING" "tBodyGyroJerk-arCoeff()-X,4" 0.195513629103487
1 "WALKING" "tBodyGyroJerk-arCoeff()-Y,1" -0.106082809732017
1 "WALKING" "tBodyGyroJerk-arCoeff()-Y,2" 0.23232874285072
1 "WALKING" "tBodyGyroJerk-arCoeff()-Y,3" 0.136059597222767
1 "WALKING" "tBodyGyroJerk-arCoeff()-Y,4" 0.028069486723872
1 "WALKING" "tBodyGyroJerk-arCoeff()-Z,1" -0.0239576658867435
1 "WALKING" "tBodyGyroJerk-arCoeff()-Z,2" 0.0795534183285303
1 "WALKING" "tBodyGyroJerk-arCoeff()-Z,3" 0.0609752461308357
1 "WALKING" "tBodyGyroJerk-arCoeff()-Z,4" 0.0271146641678674
1 "WALKING" "tBodyGyroJerk-correlation()-X,Y" 0.246227438940634
1 "WALKING" "tBodyGyroJerk-correlation()-X,Z" -0.167193038574928
1 "WALKING" "tBodyGyroJerk-correlation()-Y,Z" -0.140014582478069
1 "WALKING" "tBodyGyroJerk-energy()-X" -0.878976266887608
1 "WALKING" "tBodyGyroJerk-energy()-Y" -0.876882680662824
1 "WALKING" "tBodyGyroJerk-energy()-Z" -0.898403599798271
1 "WALKING" "tBodyGyroJerk-entropy()-X" 0.0517742937348703
1 "WALKING" "tBodyGyroJerk-entropy()-Y" 0.0777201696195965
1 "WALKING" "tBodyGyroJerk-entropy()-Z" 0.0891422206976945
1 "WALKING" "tBodyGyroJerk-iqr()-X" -0.675813886288184
1 "WALKING" "tBodyGyroJerk-iqr()-Y" -0.662360269405476
1 "WALKING" "tBodyGyroJerk-iqr()-Z" -0.685470926760807
1 "WALKING" "tBodyGyroJerk-mad()-X" -0.642637009504323
1 "WALKING" "tBodyGyroJerk-mad()-Y" -0.647483815383285
1 "WALKING" "tBodyGyroJerk-mad()-Z" -0.666657645011527
1 "WALKING" "tBodyGyroJerk-max()-X" -0.66445613367147
1 "WALKING" "tBodyGyroJerk-max()-Y" -0.700736961515562
1 "WALKING" "tBodyGyroJerk-max()-Z" -0.656625529590778
1 "WALKING" "tBodyGyroJerk-mean()-X" -0.0971120197265994
1 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0417164808293948
1 "WALKING" "tBodyGyroJerk-mean()-Z" -0.0471393985477522
1 "WALKING" "tBodyGyroJerk-min()-X" 0.68654115292219
